	input	filtered	denoisedF	nonchim
SRR19937876	57239	46634	46387	37848
SRR19937877	96039	78485	77715	55615
SRR19937878	36527	10225	10035	9533
SRR19937879	107911	61329	60920	53454
SRR19937880	100777	30606	30345	28394
SRR19937881	85632	68156	67046	52617
SRR19937882	162141	128742	127346	76557
SRR19937883	432147	344135	341470	233014
SRR19937884	96887	76763	75852	57018
SRR19937885	101992	83117	81795	65452
SRR19937886	115742	41457	41133	37678
SRR19937887	212935	172913	171869	99660
SRR19937888	94270	78902	78119	54801
SRR19937889	84790	69683	68975	63032
SRR19937890	122959	96582	95581	74805
SRR19937891	94005	75754	74483	55105
SRR19937892	111064	88800	87478	70979
SRR19937893	108949	86578	85545	59901
SRR19937894	122206	76308	75996	72912
SRR19937895	86851	68738	68141	46367
SRR19937896	69804	38894	38459	36160
SRR19937897	87164	25387	25281	24153
SRR19937898	96756	84177	82829	63844
SRR19937899	100874	60316	59892	54893
SRR19937900	105739	88498	87418	56637
SRR19937901	56233	49171	48670	36150
SRR19937902	39953	34686	34163	26993
SRR19937903	108993	95938	94986	68047
SRR19937904	98431	78654	77463	62538
SRR19937905	183561	86356	85909	76454
SRR19937906	71901	55788	55177	36317
SRR19937907	69448	55278	54464	40010
SRR19937908	85489	70065	69220	54462
SRR19937909	83370	62135	61326	43207
SRR19937910	80074	69092	67966	53261
SRR19937911	45758	38188	37649	27879
SRR19937912	82251	19525	19357	18229
SRR19937913	53320	32578	32337	29819
SRR19937914	7310	5859	5605	5523
SRR19937915	62893	55664	55135	47995
SRR19937916	163593	116711	115832	70712
SRR19937917	69414	32739	32507	29963
SRR19937918	81751	71048	70216	60184
SRR19937919	111196	92460	91081	61454
SRR19937920	48945	15888	15557	14728
SRR19937921	57965	49713	48761	45445
SRR19937922	99016	85477	84471	71284
SRR19937923	50733	40833	40171	33259
SRR19937924	453763	367321	363207	193206
SRR19937925	54295	45696	45192	38245
SRR19937926	76088	61394	60609	42452
SRR19937927	49337	41703	41167	37690
SRR19937928	94749	76599	75568	58381
SRR19937929	118623	102075	100897	66785
SRR19937930	74406	57499	56828	44563
SRR19937931	67987	57924	57226	51890
SRR19937932	70440	60465	59865	48846
SRR19937933	61227	53658	53012	47276
SRR19937934	50595	43974	43309	39069
SRR19937935	57555	21479	21178	20092
SRR19937936	48107	41652	40977	40117
SRR19937937	58817	25896	25698	25284
SRR19937938	93108	57533	57233	51087
SRR19937939	3148	2473	2308	2308
SRR19937940	92368	79809	78820	56865
SRR19937941	65566	56990	56472	50822
SRR19937942	55423	45559	44975	33704
SRR19937943	91536	74479	73701	51438
SRR19937944	52340	42301	41490	27149
SRR19937945	106028	86140	84695	63051
SRR19937946	58370	50976	50531	47124
SRR19937947	87997	74178	73112	57875
SRR19937948	99279	79233	78369	55471
SRR19937949	119543	97764	96491	71657
SRR19937950	76141	66922	65950	58103
SRR19937951	114506	92312	91516	57709
SRR19937952	43425	34220	33545	27608
SRR19937953	60128	49096	48258	40934
SRR19937954	65821	52705	52214	37767
SRR19937955	58465	48770	48389	39714
SRR19937956	51898	38729	38081	30149
SRR19937957	123617	94503	93401	67207
SRR19937958	59703	51275	50822	35606
SRR19937959	66434	36418	36272	34026
SRR19937960	61290	53629	52965	51550
SRR19937961	77176	62782	61824	51693
SRR19937962	76712	44801	44571	41710
SRR19937963	110501	74339	74203	72205
SRR19937964	61292	41979	41812	40063
SRR19937965	84451	68688	67248	34850
SRR19937966	138998	72127	71608	66652
SRR19937967	71704	58731	57458	23535
SRR19937968	96214	76949	76128	54954
SRR19937969	113681	90591	88573	34786
SRR19937970	33884	22739	22686	21682
SRR19937971	81610	66968	65190	41496
SRR19937972	125666	102498	100991	40857
SRR19937973	83673	69244	67323	34523
SRR19937974	51063	42083	40241	29579
SRR19937975	67008	56661	54961	28827
SRR19937976	47920	38540	38170	27950
SRR19937977	84564	71417	70136	32020
SRR19937978	69180	48600	48327	43709
SRR19937979	60993	51047	49479	25855
SRR19937980	85145	69765	68547	28669
SRR19937981	75767	43883	43725	39424
SRR19937982	91481	74171	72490	31634
SRR19937983	28056	23230	22466	17029
SRR19937984	88697	75218	74321	29577
SRR19937985	40151	29622	29533	27406
SRR19937986	99496	57535	57178	52046
SRR19937987	12463	9709	9416	9416
SRR19937988	106576	92419	91301	69720
SRR19937989	66825	56958	55567	27062
SRR19937990	80624	54532	54196	49734
SRR19937991	94910	67190	66932	62784
SRR19937992	46594	39825	38574	22275
SRR19937993	45482	36705	35654	18473
SRR19937994	90949	62132	61794	59257
SRR19937995	89213	62872	62543	58883
