	reads.in	reads.out
SRR19937807.fastq.gz	73382	43136
SRR19937808.fastq.gz	124018	94542
SRR19937809.fastq.gz	78331	62419
SRR19937810.fastq.gz	95973	76718
SRR19937811.fastq.gz	81166	65968
SRR19937812.fastq.gz	92326	16875
SRR19937813.fastq.gz	123651	61049
SRR19937814.fastq.gz	160317	129660
SRR19937815.fastq.gz	65497	51785
SRR19937816.fastq.gz	71684	55712
SRR19937817.fastq.gz	92128	72395
SRR19937818.fastq.gz	92056	54522
SRR19937819.fastq.gz	79487	63325
SRR19937820.fastq.gz	89086	68984
SRR19937821.fastq.gz	72328	55221
SRR19937822.fastq.gz	64402	51184
SRR19937823.fastq.gz	72432	56080
SRR19937824.fastq.gz	77220	59672
SRR19937825.fastq.gz	84012	39641
SRR19937826.fastq.gz	134326	105355
SRR19937827.fastq.gz	109466	58702
SRR19937828.fastq.gz	52239	31775
SRR19937829.fastq.gz	111822	90207
SRR19937830.fastq.gz	100771	77563
SRR19937831.fastq.gz	80518	65024
SRR19937832.fastq.gz	76780	44820
SRR19937833.fastq.gz	104799	83785
SRR19937834.fastq.gz	113262	94027
SRR19937835.fastq.gz	115066	96330
SRR19937836.fastq.gz	129997	80766
SRR19937837.fastq.gz	158659	120354
SRR19937838.fastq.gz	81241	68088
SRR19937839.fastq.gz	82157	65434
SRR19937840.fastq.gz	113481	91940
SRR19937841.fastq.gz	108331	89937
SRR19937842.fastq.gz	93816	77450
SRR19937843.fastq.gz	57593	21890
SRR19937844.fastq.gz	74761	63119
SRR19937845.fastq.gz	130268	91956
SRR19937846.fastq.gz	75606	60657
SRR19937847.fastq.gz	86297	69126
SRR19937848.fastq.gz	90057	72671
SRR19937849.fastq.gz	106492	86108
SRR19937850.fastq.gz	117922	94025
SRR19937851.fastq.gz	89770	73282
SRR19937852.fastq.gz	119291	50614
SRR19937853.fastq.gz	100657	81128
SRR19937854.fastq.gz	86295	69669
SRR19937855.fastq.gz	96457	80077
SRR19937856.fastq.gz	109712	89899
SRR19937857.fastq.gz	70105	55143
SRR19937858.fastq.gz	112197	51911
SRR19937859.fastq.gz	20302	16296
SRR19937860.fastq.gz	68596	55248
SRR19937861.fastq.gz	94250	73638
SRR19937862.fastq.gz	110193	89608
SRR19937863.fastq.gz	87392	54272
