ASV_ID	ERR3610705	ERR3610706	ERR3610707	ERR3610708	ERR3610709	ERR3610710	ERR3610711	ERR3610712	ERR3610713	ERR3610714	ERR3610715	ERR3610716	ERR3610717	ERR3610718	ERR3610719	ERR3610720	ERR3610721	ERR3610722	ERR3610723	ERR3610724	ERR3610725	ERR3610726	ERR3610727	ERR3610728	ERR3610729	ERR3610730	ERR3610731	ERR3610732	ERR3610733	ERR3610734	ERR3610735	ERR3610736	ERR3610737	ERR3610738	ERR3610739	ERR3610740	ERR3610741	ERR3610742	ERR3610743	ERR3610744	ERR3610745	ERR3610746	ERR3610747	ERR3610748	ERR3610749	ERR3610750	ERR3610751	ERR3610752	ERR3610753	ERR3610754
ASV_103	385	0	0	0	0	0	0	1215	203	0	0	0	540	0	0	370	0	0	0	0	831	0	0	0	0	0	2105	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	177	0
ASV_104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_105	0	0	0	0	176	0	0	0	413	0	997	500	316	196	20	0	240	644	0	0	261	0	0	108	221	0	0	0	0	0	374	60	0	0	0	0	0	0	0	0	181	83	0	0	82	0	841	0	0	243
ASV_106	0	0	0	242	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	310	0	0	0	2091	256	0	603	0	297	0	0	0	422	0	219	423	614	0	0	218	8	0	0	0
ASV_107	75	0	0	381	97	2070	0	136	0	161	0	79	0	0	0	63	0	223	418	104	153	114	111	0	89	0	0	97	0	239	90	62	182	71	258	0	0	112	84	0	95	0	0	42	0	161	0	86	46	0
ASV_108	0	0	0	97	0	457	0	0	0	0	220	509	214	60	0	83	216	0	0	0	0	0	19	52	193	1418	0	60	0	0	0	0	0	1007	1023	0	0	64	0	0	36	0	56	0	0	0	51	0	53	0
ASV_109	990	0	0	481	0	0	0	0	0	0	0	117	296	837	3	1698	0	0	0	0	0	671	0	0	0	0	0	0	0	0	0	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_110	19	0	635	125	199	530	184	164	269	293	599	18	106	307	70	60	0	250	136	0	61	97	54	142	0	0	90	98	62	52	306	103	102	126	0	0	94	65	136	0	9	33	36	69	0	0	0	0	0	160
ASV_111	0	0	1539	0	1128	0	32	0	0	0	0	0	51	0	0	0	0	0	0	0	0	158	0	0	0	0	308	0	0	0	81	0	0	1140	0	0	1139	0	0	0	0	0	0	0	0	0	0	47	0	0
ASV_112	152	107	0	0	74	0	690	120	47	0	0	78	80	0	32	325	0	0	0	0	111	194	146	171	0	111	397	40	0	115	119	212	72	468	134	257	0	146	169	0	0	80	514	0	0	0	0	369	79	0
ASV_113	36	130	134	352	77	0	140	548	230	46	39	83	35	274	90	22	96	49	0	230	144	217	38	50	29	164	833	12	0	42	94	21	36	25	76	0	121	378	125	0	203	82	36	0	144	26	0	0	22	71
ASV_114	386	36	71	122	0	16	138	333	227	0	70	151	5	0	0	0	54	0	838	0	0	0	232	0	181	241	499	57	0	0	106	19	46	116	370	446	0	195	42	38	80	24	33	140	45	95	0	115	18	0
ASV_115	0	0	0	672	0	21	85	413	106	258	0	0	0	56	0	67	0	0	0	30	317	54	0	81	218	782	0	94	32	100	27	45	86	158	345	102	0	131	111	0	92	0	0	0	414	0	0	0	0	641
ASV_116	0	0	1541	0	1072	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	312	0	0	0	67	0	0	1160	0	0	1126	0	0	0	0	0	0	0	0	0	0	27	0	0
ASV_117	325	0	0	0	450	0	0	0	0	0	0	0	185	0	0	846	0	0	0	0	199	271	254	125	0	0	0	204	0	0	472	465	304	198	0	0	127	0	0	0	0	0	146	0	106	433	0	15	272	0
ASV_118	104	0	0	0	0	0	0	0	0	0	112	600	332	356	0	75	0	66	0	0	191	0	0	488	0	0	0	600	0	0	510	143	0	0	0	0	70	0	1058	0	0	0	52	0	0	519	0	60	0	0
ASV_119	315	0	0	0	0	0	0	1070	217	0	0	0	420	0	0	364	0	0	0	0	752	0	0	0	0	0	1777	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	195	0
ASV_120	177	109	92	0	37	0	319	80	175	0	0	0	52	73	138	461	47	0	0	0	218	94	85	0	71	105	749	0	0	117	198	0	126	489	140	0	75	133	196	0	80	58	94	0	0	0	0	465	63	0
ASV_121	223	0	195	0	0	0	619	21	0	0	0	0	0	58	56	0	0	0	112	0	0	287	0	0	15	0	0	555	0	197	0	116	13	0	1022	189	269	57	0	635	21	0	0	0	195	0	0	0	0	388
ASV_122	0	0	0	208	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	1794	278	0	552	0	270	0	0	0	432	0	190	337	549	0	0	203	0	0	0	0
ASV_123	32	29	0	52	183	41	71	126	276	53	188	56	0	61	430	55	91	338	84	0	180	91	88	91	70	41	61	0	0	22	52	101	317	194	210	0	56	694	169	62	49	85	0	0	35	29	0	129	37	64
ASV_124	0	0	771	0	0	0	0	0	0	0	0	211	163	773	0	0	0	0	0	0	760	463	0	0	507	0	0	0	0	0	0	0	717	0	0	0	0	0	0	0	30	612	24	0	0	0	0	0	48	0
ASV_125	0	127	94	175	284	0	89	77	68	99	163	116	111	134	60	70	101	63	51	90	145	65	106	30	144	264	104	0	0	30	65	96	100	58	0	78	114	74	197	212	89	77	72	111	91	73	497	0	71	98
ASV_126	246	0	0	0	451	0	0	0	0	0	0	0	207	0	0	786	0	0	0	0	179	207	228	139	0	0	0	182	0	0	522	417	237	191	0	0	108	0	0	0	0	0	165	0	86	370	0	24	285	0
ASV_127	259	411	81	0	0	49	0	0	165	0	0	68	187	194	0	56	0	66	0	0	0	0	64	0	35	0	66	97	0	0	274	1569	0	33	204	0	0	0	79	33	0	0	0	133	748	40	32	0	47	0
ASV_128	43	0	0	0	130	0	246	0	379	0	0	0	187	59	251	160	0	0	802	0	134	53	44	42	385	0	0	0	0	371	286	114	216	188	74	0	76	166	0	29	103	81	66	0	28	0	0	37	64	133
ASV_129	70	0	0	0	0	0	0	0	0	0	0	0	0	87	0	776	0	0	0	0	0	179	1260	297	0	0	0	979	0	0	175	208	0	0	0	0	0	0	0	588	0	263	0	0	0	0	0	0	0	0
